id,sensing_time,mission_id,cloud_cover,mean_ndvi
503,2020-04-01T17:18:21.736000,SENTINEL-2A,2.9395,0.258478
504,2020-04-11T17:18:24.443000,SENTINEL-2A,1.2882,0.304893
916,2020-04-21T17:18:27.655000,SENTINEL-2A,10.7139,0.213697
120,2020-05-01T17:18:28.989000,SENTINEL-2A,8.1169,0.255250
126,2020-05-11T17:18:32.701000,SENTINEL-2A,29.003,0.131555
124,2020-05-21T17:18:30.724000,SENTINEL-2A,15.8907,0.147658
121,2020-05-21T17:18:37.304000,SENTINEL-2A,12.0022,0.167560
533,2020-05-31T17:18:32.066000,SENTINEL-2A,12.5923,0.200416
773,2020-06-10T17:18:32.144000,SENTINEL-2A,60.9122,0.305266
775,2020-06-20T17:18:31.750000,SENTINEL-2A,53.3667,0.112898
466,2020-06-30T17:18:30.930000,SENTINEL-2A,44.8985,0.124411
885,2020-07-10T17:18:29.991000,SENTINEL-2A,22.8156,0.453967
886,2020-07-20T17:18:31.039000,SENTINEL-2A,12.0516,0.336874
186,2020-07-30T17:18:28.969000,SENTINEL-2A,45.4681,0.027751
184,2020-07-30T17:18:35.571000,SENTINEL-2A,50.3957,0.319096
256,2020-08-09T17:18:29.076000,SENTINEL-2A,77.5731,0.008306
254,2020-08-19T17:18:31.612000,SENTINEL-2A,39.1089,0.240945
966,2020-08-29T17:18:30.921000,SENTINEL-2A,66.8519,0.117438
529,2020-09-08T17:18:29.811000,SENTINEL-2A,32.4335,0.341273
532,2020-09-18T17:18:30.580000,SENTINEL-2A,94.4483,0.017537
912,2020-09-28T17:18:31.413000,SENTINEL-2A,33.5473,0.280082
549,2020-10-08T17:18:31.705000,SENTINEL-2A,16.9318,0.525232
552,2020-10-18T17:18:31.448000,SENTINEL-2A,6.9576,0.399045
554,2020-10-28T17:18:31.081000,SENTINEL-2A,9.6473,0.308601
526,2020-11-07T17:18:30.315000,SENTINEL-2A,6.8016,0.371368
525,2020-11-17T17:18:28.832000,SENTINEL-2A,54.8275,0.258217
524,2020-11-27T17:18:26.548000,SENTINEL-2A,0.238,0.429726
952,2020-12-07T17:18:23.340000,SENTINEL-2A,24.0916,0.184104
948,2020-12-17T17:18:23.846000,SENTINEL-2A,9.2972,0.295277
953,2020-12-27T17:18:25.523000,SENTINEL-2A,1.7607,0.353150
492,2021-01-06T17:18:26.432000,SENTINEL-2A,11.8467,0.264698
490,2021-01-16T17:18:26.716000,SENTINEL-2A,14.3392,0.184940
495,2021-01-26T17:18:26.351000,SENTINEL-2A,0.0837,0.328410
865,2021-02-05T17:18:25.295000,SENTINEL-2A,2.0347,0.333510
866,2021-02-15T17:18:24.896000,SENTINEL-2A,71.9474,0.340853
863,2021-02-25T17:18:25.642000,SENTINEL-2A,1.8816,0.312122
1140,2021-03-07T17:18:25.676000,SENTINEL-2A,1.7594,0.285145
1141,2021-03-17T17:18:25.091000,SENTINEL-2A,4.5909,0.261298
808,2021-03-27T17:18:23.823000,SENTINEL-2A,0.7556,0.280582
226,2021-04-06T17:18:21.875000,SENTINEL-2A,8.0596,0.188691
227,2021-04-16T17:18:19.379000,SENTINEL-2A,9.9363,0.174675
229,2021-04-16T17:18:26.081000,SENTINEL-2A,8.6368,0.143769
507,2021-04-26T17:18:22.614000,SENTINEL-2A,4.7078,0.222908
361,2021-05-06T17:18:24.543000,SENTINEL-2A,8.006,0.250563
358,2021-05-16T17:18:25.903000,SENTINEL-2A,43.7446,0.070329
881,2021-05-26T17:18:26.598000,SENTINEL-2A,7.4805,0.204385
308,2021-06-05T17:18:26.655000,SENTINEL-2A,55.1449,0.060552
306,2021-06-15T17:18:26.191000,SENTINEL-2A,46.8082,0.243191
233,2021-06-25T17:18:27.292000,SENTINEL-2A,68.4683,0.026610
319,2021-07-05T17:18:28.386000,SENTINEL-2A,17.8341,0.297388
317,2021-07-15T17:18:29.097000,SENTINEL-2A,90.6302,0.023373
1073,2021-08-04T17:18:28.856000,SENTINEL-2A,25.1357,0.284272
1072,2021-08-14T17:18:28.390000,SENTINEL-2A,19.3416,0.360270
240,2021-08-24T17:18:27.893000,SENTINEL-2A,63.9264,0.133715
188,2021-09-03T17:18:26.781000,SENTINEL-2A,66.3875,0.079255
187,2021-09-13T17:18:26.911000,SENTINEL-2A,68.5268,0.111780
137,2021-09-23T17:18:29.127000,SENTINEL-2A,58.1636,0.370814
1136,2021-10-03T17:18:30.601000,SENTINEL-2A,17.6865,0.395634
1134,2021-10-13T17:18:31.265000,SENTINEL-2A,1.8131,0.469024
1138,2021-10-23T17:18:31.096000,SENTINEL-2A,32.8228,0.158787
288,2021-11-02T17:18:29.996000,SENTINEL-2A,0.0217,0.511603
291,2021-11-12T17:18:27.709000,SENTINEL-2A,0.0846,0.482262
290,2021-11-22T17:18:25.958000,SENTINEL-2A,25.9861,0.287792
1097,2021-12-12T17:18:25.167000,SENTINEL-2A,33.5273,0.206176
1092,2021-12-22T17:18:27.032000,SENTINEL-2A,0.0599,0.395842
674,2022-01-01T17:18:27.562000,SENTINEL-2A,0.0,0.380787
675,2022-01-11T17:18:27.028000,SENTINEL-2A,39.9678,0.247988
671,2022-01-21T17:18:25.825000,SENTINEL-2A,49.4839,0.107040
676,2022-01-31T17:18:26.440000,SENTINEL-2A,5.13028969426207,0.144284
900,2022-02-10T17:18:24.789000,SENTINEL-2A,14.7091582310609,0.113427
902,2022-02-20T17:18:27.676000,SENTINEL-2A,1.84711397772403,0.174439
311,2022-03-02T17:18:29.421000,SENTINEL-2A,0.0,0.184606
312,2022-03-12T17:18:29.934000,SENTINEL-2A,11.864044910269,0.159315
437,2022-04-01T17:18:27.922000,SENTINEL-2A,0.0,0.178154
436,2022-04-11T17:18:27.973000,SENTINEL-2A,17.569500432978,0.100838
1066,2022-04-21T17:18:30.431000,SENTINEL-2A,11.0240078831855,0.129573
374,2022-05-11T17:18:29.412000,SENTINEL-2A,29.8202096210696,0.099082
870,2022-05-21T17:18:32.412000,SENTINEL-2A,4.68079070739646,0.167236
868,2022-05-31T17:18:33.690000,SENTINEL-2A,30.5520320105109,0.116532
176,2022-06-10T17:18:35.228000,SENTINEL-2A,7.93227626981994,0.160310
77,2022-06-20T17:18:37.763000,SENTINEL-2A,28.3979814267371,0.202701
79,2022-06-30T17:18:38.828000,SENTINEL-2A,5.88700767416166,0.198761
555,2022-07-10T17:18:38.764000,SENTINEL-2A,13.1822986652334,0.167638
557,2022-07-20T17:18:37.351000,SENTINEL-2A,9.63492490071367,0.187306
377,2022-07-30T17:18:35.698000,SENTINEL-2A,4.76108572964257,0.270816
583,2022-08-09T17:18:37.683000,SENTINEL-2A,27.9899071336857,0.201787
584,2022-08-19T17:18:38.519000,SENTINEL-2A,39.1523186718027,0.143271
166,2022-08-29T17:18:38.302000,SENTINEL-2A,57.3264952671026,0.070709
